zip,year,hpi
010,1975,21.46
010,1976,23.12
010,1977,24.72
010,1978,26.63
010,1979,30.97
010,1980,34.66
010,1981,37.13
010,1982,41.58
010,1983,44.31
010,1984,51.21
010,1985,57.48
010,1986,66
010,1987,80.27
010,1988,92.84
010,1989,95.25
010,1990,93.23999999999999
010,1991,90.2
010,1992,88.40000000000001
010,1993,87.16
010,1994,86.06
010,1995,85.64
010,1996,86.97
010,1997,88.12
010,1998,90.48999999999999
010,1999,93.58
010,2000,100
010,2001,106.52
010,2002,115.91
010,2003,124.8
010,2004,140.94
010,2005,159.08
010,2006,166.61
010,2007,167.59
010,2008,162.5
010,2009,155.73
010,2010,152.53
010,2011,148.45
010,2012,145.51
010,2013,145.22
010,2014,146.7
010,2015,149.8
010,2016,152.44
010,2017,156.89
010,2018,163.8
010,2019,169.8
010,2020,176.98
010,2021,196.97
010,2022,221.41
011,1975,20.89
011,1976,24.47
011,1977,25.16
011,1978,27.95
011,1979,32.61
011,1980,35.58
011,1981,40.23
011,1982,44.13
011,1983,48.55
011,1984,56.11
011,1985,66.22
011,1986,77.17
011,1987,92.45
011,1988,105.28
011,1989,110.05
011,1990,106.15
011,1991,100.54
011,1992,97.72
011,1993,93.42
011,1994,89.29000000000001
011,1995,84.06
011,1996,85.06
011,1997,85.58
011,1998,91.27
011,1999,93.15000000000001
011,2000,100
011,2001,107.78
011,2002,119.02
011,2003,128.63
011,2004,142.43
011,2005,159.63
011,2006,168.53
011,2007,167.05
011,2008,158.03
011,2009,149.41
011,2010,147.34
011,2011,142.74
011,2012,137.79
011,2013,136.75
011,2014,139.72
011,2015,144.08
011,2016,146.53
011,2017,154.86
011,2018,164.48
011,2019,171.92
011,2020,182.07
011,2021,208.73
011,2022,241.18
012,1980,37.9
012,1981,42.85
012,1982,42.03
012,1983,46.75
012,1984,58.33
012,1985,66.93000000000001
012,1986,76.28
012,1987,86.06999999999999
012,1988,95.7
012,1989,98.3
012,1990,97.06
012,1991,90.54000000000001
012,1992,85.34999999999999
012,1993,85.33
012,1994,85.31
012,1995,85.40000000000001
012,1996,87.20999999999999
012,1997,89.70999999999999
012,1998,90.70999999999999
012,1999,93.29000000000001
012,2000,100
012,2001,107.23
012,2002,114.23
012,2003,122.64
012,2004,135.47
012,2005,153.38
012,2006,163.67
012,2007,165.81
012,2008,164.86
012,2009,159.44
012,2010,155.54
012,2011,152.13
012,2012,148.74
012,2013,148.27
012,2014,146.82
012,2015,148.63
012,2016,150.38
012,2017,151.57
012,2018,161.75
012,2019,164.41
012,2020,171.27
012,2021,193.68
012,2022,221.7
013,1985,54.71
013,1986,63.9
013,1987,78.45999999999999
013,1988,89.7
013,1989,94.09999999999999
013,1990,90.28
013,1991,86.61
013,1992,84.40000000000001
013,1993,82.08
013,1994,80.98999999999999
013,1995,81.09
013,1996,81.83
013,1997,82.91
013,1998,87.53
013,1999,89.15000000000001
013,2000,100
013,2001,104.9
013,2002,115.24
013,2003,124.06
013,2004,143.09
013,2005,161.03
013,2006,166.84
013,2007,163.68
013,2008,155.9
013,2009,150.75
013,2010,146.9
013,2011,142.82
013,2012,138.95
013,2013,139.62
013,2014,141.69
013,2015,139.67
013,2016,145.4
013,2017,149.83
013,2018,162.22
013,2019,164.83
013,2020,173.4
013,2021,199.46
013,2022,222.2
014,1975,18.31
014,1976,20.04
014,1977,21.68
014,1978,24.44
014,1979,26.15
014,1980,30.27
014,1981,34.19
014,1982,37.67
014,1983,39.93
014,1984,48.08
014,1985,57.85
014,1986,69.78
014,1987,77.65000000000001
014,1988,81.95999999999999
014,1989,82.83
014,1990,78.06
014,1991,73.31999999999999
014,1992,71.66
014,1993,70.56
014,1994,69.26000000000001
014,1995,70.15000000000001
014,1996,72.94
014,1997,75.45999999999999
014,1998,80.29000000000001
014,1999,86.3
014,2000,100
014,2001,111.55
014,2002,122.47
014,2003,131.29
014,2004,144.11
014,2005,157.53
014,2006,160.47
014,2007,153.37
014,2008,143.65
014,2009,132.54
014,2010,128.07
014,2011,123.78
014,2012,120.02
014,2013,120.46
014,2014,125.79
014,2015,129.76
014,2016,135.92
014,2017,143.95
014,2018,151.88
014,2019,159.44
014,2020,166.1
014,2021,188.63
014,2022,216.12
015,1975,19.2
015,1976,20.15
015,1977,21.78
015,1978,24.13
015,1979,27.05
015,1980,31.52
015,1981,36
015,1982,38.93
015,1983,39.87
015,1984,47.83
015,1985,57.44
015,1986,68.97
015,1987,77.2
015,1988,81.39
015,1989,81.95
015,1990,77.72
015,1991,73.61
015,1992,72.66
015,1993,71.83
015,1994,72.02
015,1995,73.41
015,1996,74.81
015,1997,77.68000000000001
015,1998,81.26000000000001
015,1999,86.67
015,2000,100
015,2001,111.16
015,2002,123.27
015,2003,132.49
015,2004,146.15
015,2005,160.28
015,2006,162.57
